match_id,avg_elo,winner,diff_villagers_snapshot,diff_apm,diff_queues,diff_builds,diff_orders
50453403,1104,0,0,-11.5,0,2,-41
116883036,1050,1,-6,-22.9,-17,5,-36
125287851,1672.5,0,11,-2.8,1,-2,47
107928939,1135,1,12,-17.55,15,-3,-4
77909492,1394.5,1,13,0.25,3,21,9
73508259,1173,0,-5,-8.95,-7,8,-18
102304161,997,0,-10,1.55,-4,2,29
120380800,1135.5,0,16,54.2,33,15,29
133049794,1445,1,0,-38.6,-2,0,1
56230430,1407.5,0,-5,-31.8,-9,-11,-91
125252691,929,0,-4,-9.4,6,-7,-15
77948399,1362,1,12,-31.2,13,-2,-66
116481058,913,0,-6,-13.25,2,-8,-8
90353751,1221,0,10,-3.5,5,7,1
123679889,1313,0,-5,-10.65,-6,3,-53
120869316,1058.5,0,4,4.65,-5,16,-6
89892633,1046.5,0,-4,-14.3,-11,0,-135
104179885,1139,1,13,-12.8,4,-3,-7
61483156,1115.5,0,2,-14.8,11,3,-28
107885690,906,0,8,-17.1,30,12,-38
104103097,1420,1,5,14.9,14,-12,36
56848055,1075.5,0,13,-14.05,25,5,-53
126456607,1037,0,-3,-23.45,-1,9,-69
109037791,1105,1,6,-8.45,-16,7,-4
71263467,1206,0,10,-5.5,17,-12,-19
56895969,1001.5,1,2,6,-2,-3,2
51529895,918.5,0,-9,-13.55,-4,4,-12
88587332,1101,1,-4,-9.8,-9,3,-10
95364466,1673,1,-13,-27.85,-20,-9,-12
76627029,1065,0,-11,0.95,-8,-28,15
64916111,1072,1,-13,-13.1,2,0,-14
59927815,1133,1,-14,0.3,-27,-12,4
92465707,1134.5,1,13,-0.85,11,4,-11
131909513,1138,1,5,-2.55,-1,12,-25
101115158,1039.5,1,7,-7,3,5,-1
104835841,1239,1,9,-1.7,7,-13,1
120403879,1074,1,4,-8.4,5,8,15
107744113,1380,0,7,-14.2,10,16,38
92590413,925,0,5,5.6,9,13,36
87153471,974.5,0,14,11.15,7,4,15
107629754,1411,1,-5,0.45,-30,-2,12
138587743,1990.5,1,12,-41.35,23,2,42
94195377,955,1,5,-14.4,15,14,-16
60385466,1144,1,-13,-9.65,0,2,-8
83875382,1031.5,0,4,5.55,1,-1,4
111461608,1086,0,15,11.45,13,11,53
133937931,1037,0,2,-22.75,7,0,-24
70936040,1103.5,0,6,11.1,-12,8,-54
76080095,1033.5,0,-5,4.6,-4,19,1
76256788,973.5,1,-7,-4.7,-5,19,22
83976520,1141,1,-15,-25.7,-25,-17,-22
141559093,1071,1,-18,-3.9,-17,7,21
125859323,1315,0,-9,-5.85,-5,2,-7
107077869,1539,0,0,-8.6,0,0,7
136298266,1252.5,1,2,-37.4,3,4,-82
58097983,1164,1,6,-14.65,18,-7,-6
107370785,1053,0,2,-15.55,12,7,1
118897487,1615.5,1,9,-17.4,-9,-5,-24
89469099,916.5,0,-2,-7.3,-1,13,-13
80476628,966.5,0,8,-1.9,-1,0,41
128327263,1098.5,1,-1,-2.95,-7,0,36
91596327,938,1,2,2.65,3,-1,-22
140131024,1155.5,1,-1,4.35,-5,-5,-4
75700887,1178.5,0,-3,-15.85,5,-1,3
99738482,1077,1,-16,15.75,-16,-4,-10
100519039,1015,0,23,-1.25,22,9,11
102138175,1033,1,4,-18.4,7,-7,14
124386007,961,0,2,-3.9,0,2,30
109148952,957.5,0,-11,1.45,-8,-11,23
132741934,1053,0,16,11.85,25,7,35
126667307,961,1,-9,-11.9,-5,10,-53
109979262,1206,1,-8,-21.35,1,-3,50
111758029,1479,1,2,-6.35,-13,-2,31
56487406,1325.5,1,7,-10.05,6,-6,-22
114850712,1301,0,17,7.85,21,1,39
56695593,1178.5,0,10,10.3,21,1,35
72796675,1010.5,1,-6,-30.5,-27,-6,-20
136249369,1147,0,0,-3.55,7,1,-3
118728016,1199,0,-12,4.45,-38,3,3
100698242,1630,1,3,-23.3,11,11,46
77114757,914.5,0,2,-7.6,-4,9,-34
49603542,1075.5,1,12,0.6,33,19,26
126361893,1134.5,0,10,-3.9,6,-17,-2
85531490,1391,0,5,-20.25,8,3,-50
89771517,1299.5,0,-7,7.6,-16,8,16
126581331,1232,0,13,5.8,21,2,31
132938083,1078,0,10,17.9,16,-8,4
72858059,1445.5,1,9,-33.7,3,8,-42
66945970,1299,0,3,2.45,23,19,-18
89542803,948,0,-9,17.5,-13,0,50
127805230,934,1,-17,-46.95,-36,-8,-71
133714958,1042,0,-3,-16.3,1,9,-30
50633991,1310,1,-12,0.45,-15,5,0
123263422,1288.5,0,6,-11.85,14,11,-66
95131665,1224.5,1,15,-1.6,17,9,42
138123126,1488,0,1,-17.1,-14,7,-72
133392285,1306,0,6,3.75,-1,7,81
121778427,1029,1,1,-30.2,2,-2,-36
62167625,958.5,0,-4,6.1,-13,-6,5
120772152,1127,1,-4,-10.85,-1,-6,15
85723020,1776,0,-7,-11.8,-2,-7,-21
59773814,910,1,13,-6.85,26,5,-2
129456712,1205.5,1,-6,-14.95,9,-4,-37
70848579,1118.5,1,20,22,23,5,-3
115804237,1352.5,0,-2,1.9,-5,-1,27
113915928,1507.5,0,2,-28.7,2,-10,14
110797139,1443.5,1,4,-39.75,3,5,-47
57529429,1023.5,1,-25,-4.25,-21,1,-32
112034515,1018.5,0,28,13.45,30,3,-9
64351121,1164,1,1,-6.85,-4,12,-31
100602046,1189.5,0,-6,-31.6,-7,0,1
104941064,1140,0,17,-9.35,18,9,-31
141170173,1124,0,18,-8.1,18,2,-19
134715909,1121,1,2,-2.3,1,11,129
88238338,1231,1,-3,-34.3,11,-5,-36
67473976,2152,0,1,-39.55,-10,10,39
60482858,917.5,0,1,7.9,1,30,16
74574507,1013,1,-14,-22.35,-17,1,-12
124952119,1976,0,-5,-4.4,-13,11,35
131899902,1155,0,12,-8.65,5,6,-11
75954340,1053.5,0,4,10.9,30,6,0
135230357,983.5,1,-17,-13.65,-16,-3,7
55457212,1355,1,-7,-2,-27,0,-49
50863531,1039.5,1,7,-7.85,3,1,-31
129654623,994,0,-14,0.05,-21,18,6
95483361,1525.5,1,-13,-12.85,-24,-10,14
119911943,1088.5,1,-15,-12.05,-19,2,8
79069600,938,0,-9,3.25,-16,7,77
114224823,1580,1,4,-27.25,2,-2,-31
122404227,1023,0,-10,-12.45,-3,-9,-16
109455954,965,1,3,1.1,-1,8,53
102955343,1180.5,0,4,-5.1,11,10,18
103427994,1148,1,0,-5.3,-10,-5,88
72948581,1351.5,0,-16,-13.15,7,4,-16
115758188,974,1,1,-16.05,8,-8,-30
92470735,1091,1,-13,-27,-15,-15,-13
90173407,957.5,1,7,8.3,15,6,7
87311962,1134,1,8,1.5,7,-7,21
124685183,1151,1,-13,-4.7,-19,-3,11
133891819,950,1,-15,-17.5,-22,6,-14
51180116,1268.5,0,-6,-1.3,-10,1,60
138179470,1391,1,23,-7.3,19,4,4
67854409,906,0,38,21.7,36,28,47
61557902,1421,1,4,4.85,4,5,33
56786259,1123,1,-5,-6.5,3,0,-1
64318804,1055,1,-13,-33.05,-18,-9,8
87970228,995,1,4,-7.05,5,9,4
58835326,1239.5,0,1,-18.45,-11,10,59
90426520,1076,1,2,22.15,-1,-2,53
112899642,1069.5,1,5,-30.8,4,-1,-39
141482972,2030.5,1,-13,-37.9,-25,-9,-66
105871703,1080,0,12,-10.25,13,-8,-18
87727938,1101.5,0,-5,-2.7,-1,-1,-11
61601061,938.5,1,7,-6.85,0,-7,-7
95470055,1070,1,8,-51.8,3,-4,-68
141178083,1073.5,0,-7,-0.6,-3,12,-10
134491027,1412.5,1,-5,7.1,-9,-15,59
62866735,1092,0,-8,-29,-18,-6,-3
54800147,1032.5,1,-8,-9.4,2,-5,6
91337362,1035.5,0,-6,-5.4,-6,-7,16
98313875,1166,0,-1,16.75,1,-1,12
